V1,V2,V3,V4,V5,V6,V7
191070.01,142445.6,99802.92,142445.6,197261.95,197261.95,25.78
171700.0,171700.0,135288.0,171700.0,171700.0,171700.0,21.21
123000.0,123000.0,86592.0,123000.0,123000.0,123000.0,29.6
44200.0,44200.0,29172.0,44200.0,44200.0,44200.0,34.0
135100.0,135100.0,93506.0,135100.0,135100.0,135100.0,30.79
337981.82,356701.4,257064.77,356701.0,356701.4,356701.4,27.82
310788.14,318166.89,243233.0,318166.0,318166.89,318166.89,23.4
237968.54,245057.4,175664.44,245057.0,245057.4,245057.4,28.27
255302.71,264318.19,185022.73,264318.19,264318.19,264318.19,22.85
176747.14,182680.58,136363.95,182680.58,182680.58,182680.58,22.85
381500.0,381500.0,301469.32,381500.0,381500.0,381500.0,20.98
157404.67,162272.86,113590.72,162272.86,176230.55,176230.55,30.0
281490.7,290196.6,174117.96,290196.6,335215.3,290196.6,25.74
941978.03,1007990.0,584954.2,1007990.0,1007990.0,1007990.0,22.85
47731.17,49177.92,34487.5,49177.92,49177.92,49177.92,29.0
273754.33,247500.0,213495.88,273754.33,273754.33,273754.33,22.01
313000.0,313000.0,220352.0,313000.0,313000.0,313000.0,29.6
176300.0,207000.0,124115.2,207000.0,207000.0,207000.0,29.6
166900.0,166900.0,119793.6,166900.0,166900.0,166900.0,28.22
187787.21,192917.5,144399.72,192917.5,192917.5,192917.5,22.85
405761.8,426868.67,342501.25,426868.0,426868.67,426868.67,19.51
244107.88,251313.15,191487.79,251313.0,251313.15,251313.15,25.74
127214.39,137694.58,98148.45,137694.58,137694.58,137694.58,22.85
286907.3,298673.59,221437.36,298673.59,298673.59,298673.59,22.85
136993.0,115100.0,112298.64,136897.0,136933.0,115100.0,18.03
110247.0,84000.0,90373.88,106345.0,106345.0,90226.0,18.03
66974.0,77100.0,54901.26,70874.0,70874.0,70874.0,18.03
297732.47,347341.0,243138.7,347341.0,347341.0,344311.28,30.0
389224.17,401264.69,292224.78,401264.0,401264.69,401264.69,27.09
595000.0,595000.0,434350.0,595000.0,595000.0,595000.0,27.0
627142.0,805425.0,514093.38,838579.0,838579.0,838579.0,18.03
209431.49,218601.0,165618.42,209431.49,209431.49,209431.49,20.92
500000.0,500000.0,425000.0,500000.0,500000.0,500000.0,15.0
364700.0,364700.0,256748.8,364700.0,364700.0,364700.0,29.6
287800.0,287800.0,205272.32,287800.0,287800.0,287800.0,25.78
58000.0,58000.0,40275.2,58000.0,58000.0,58000.0,30.56
123800.0,123800.0,87898.0,123800.0,123800.0,123800.0,29.0
128000.0,128000.0,81834.2,128000.0,128000.0,128000.0,25.74
75283.0,75283.0,61712.5,75283.0,75283.0,75283.0,18.03
125807.0,125807.0,108154.32,125807.0,125807.0,125807.0,18.03
243526.0,243526.0,204561.84,243526.0,243526.0,243526.0,18.03
407483.0,407484.0,342286.56,407484.0,407484.0,407484.0,18.03
128142.0,128142.0,112682.28,128142.0,128142.0,128142.0,18.03
77341.0,77341.0,63399.51,77341.0,77341.0,77341.0,18.03
219375.0,219375.0,179830.0,219375.0,219375.0,219375.0,18.03
191264.0,191264.0,156787.0,191264.0,191264.0,191264.0,18.03
371892.0,371892.0,304855.0,386788.0,371892.0,371892.0,18.03
48622.0,48622.0,39858.0,48622.0,48622.0,48622.0,18.03
67757.0,67757.0,55543.12,67757.0,67757.0,67757.0,18.03
147009.0,147009.0,120509.16,147009.0,147009.0,147009.0,18.03
50941.0,50941.0,41758.38,50941.0,50941.0,50941.0,18.03
155071.0,155071.0,127117.9,155071.0,155071.0,155071.0,18.03
119080.0,100000.0,84000.0,100000.0,100000.0,100000.0,18.03
145391.36,155768.0,105158.98,155768.0,155768.0,155768.0,25.74
392329.0,392329.0,321608.0,392329.0,392329.0,392329.0,18.03
214880.0,214880.0,176145.74,227880.0,429760.0,193880.0,18.03
68098.0,68098.0,55823.0,68098.0,68098.0,61288.0,18.03
100727.0,100727.0,82570.0,100727.0,100727.0,100727.0,18.03
38097.0,37000.0,31080.0,37000.0,37000.0,37000.0,18.03
226454.0,230000.0,185633.4,230000.0,230000.0,141963.0,18.03
112518.0,111000.0,92235.51,111000.0,111000.0,111000.0,18.03
278505.0,214000.0,179760.0,214000.0,214000.0,214000.0,18.03
59035.0,58000.0,48393.35,58000.0,58000.0,58000.0,18.03
271467.53,283940.43,197474.18,283940.43,283940.43,250000.0,22.85
476345.38,493238.0,336080.48,493238.0,493238.0,493238.0,25.11
471527.89,484290.85,396972.51,484290.0,484290.0,484290.0,22.53
222896.0,222896.0,182716.77,222896.0,222896.0,222896.0,18.03
225693.0,225693.0,191839.05,225693.0,225693.0,225693.0,15.0
300000.0,300000.0,266590.04,300000.0,300000.0,300000.0,11.14
1043727.93,1135800.0,825858.0,1043727.93,1043727.93,1043727.93,30.0
980426.67,1000000.0,778814.65,936625.0,1046026.67,1046026.67,22.12
1339613.3,1500000.0,1399191.35,1339613.3,1339613.3,1339613.3,10.0
1492698.7,1600000.0,1254133.0,1492698.7,1492698.7,1492698.7,17.91
157722.14,166200.0,123414.0,157722.14,157722.14,157722.14,21.75
87557.71,91900.0,67443.0,87557.71,87557.71,87557.71,22.97
169755.23,623300.0,120865.83,169755.23,169755.23,169755.23,100.0
100441.77,100441.77,84531.1,100441.77,100441.77,100441.77,15.84
44014.1,44014.1,37063.7,44014.1,44014.1,44014.1,15.79
43590.74,57200.0,31025.13,43590.74,43590.74,43590.74,28.83
44732.76,44700.0,32439.41,44732.76,44732.76,44732.76,27.48
59728.16,107300.0,48004.07,59728.16,59728.16,59728.16,-44.38
62492.59,62492.59,56520.9,62492.59,62492.59,62492.59,9.56
99775.37,99775.37,71216.4,99775.37,99775.37,99775.37,28.62
129889.26,136227.36,96374.29,129889.26,129889.26,129889.26,25.8
27174.41,30285.45,21277.96,27174.41,27174.41,27174.41,21.7
45840.36,51276.85,36118.67,45840.36,45840.36,45840.36,21.21
159641.43,237900.0,129501.48,159641.43,159641.43,159641.43,-20.89
151734.8,211100.0,126319.0,151734.8,151734.8,151734.8,-15.82
78401.08,136500.0,60861.64,78401.08,78401.08,78401.08,-35.16
79229.67,115000.0,61816.31,79229.67,79229.67,79229.67,21.98
301617.05,496400.0,221058.37,301617.05,301617.05,301617.05,26.71
158982.3,158982.3,134654.96,158982.3,158982.3,158982.3,15.3
74390.66,78400.0,61446.69,74390.66,74390.66,74390.66,17.4
